Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
JMMY,youn22D,1,80,0,0,February
JMMY,Macho70Mk,1,50,0,0,February
JMMY,aldin75D,5,453,2,700,February
JMMY,Bashar769,1,150,0,0,March
JMMY,RameshChandra92,8,197.7,0,0,March
JMMY,SAGTO43,1,50,0,0,March
JMMY,elun14D,2,99,0,0,March
JMMY,BORTO18,1,50,0,0,March
JMMY,TARATO73,7,500,0,0,March
JMMY,marsinah83Z,1,200,0,0,March
JMMY,DinDin3j,3,110,0,0,March
JMMY,revathikaur01,1,30,0,0,March
JMMY,IDReka25,20,890,8,1619,March
JMMY,haps30D,1,100,0,0,March
JMMY,nadnad00MR,3,80,0,0,March
JMMY,blyar34D,3,70,0,0,March
JMMY,aja85,6,206,1,200,March
JMMY,KLMO130,3,100,0,0,March
JMMY,Peng478YN,13,350,3,874,March
JMMY,MANDAL235J,2,100,1,200,March
JMMY,apale24MR,2,50,0,0,March
JMMY,Robert907,13,610,5,750,March
JMMY,NORMAL06,3,150,0,0,March
JMMY,cintaku187,20,606,3,400,March
JMMY,arshad583,3,80,0,0,March
JMMY,ggede877J,2,100,1,150,March
JMMY,aril73,9,370,1,200,March
JMMY,Sasihkunar28J,2,60,0,0,March
JMMY,sungai64J,8,245,1,101,March
JMMY,sukurr272,5,265,0,0,March
JMMY,See66,18,900,5,651,March
JMMY,Thian57,1,30,0,0,March
JMMY,OMAR30,1,30,0,0,March
JMMY,suii42D,5,160,1,154,March
JMMY,Nadhira354,3,60,0,0,March
JMMY,utai82Z,1,30,0,0,March
JMMY,berTO36,13,350,1,132,March
JMMY,gigi567,1,30,0,0,March
JMMY,Jahangir3J,3,150,1,201,March
JMMY,ASITO20,1,30,0,0,March
JMMY,KLMTO49,1,30,0,0,March
JMMY,Nsyaf84,1,100,0,0,March
JMMY,bungsu06,4,155,1,100,March
JMMY,peran11HH,5,501,0,0,March
JMMY,FAFI95,1,50,0,0,March
JMMY,busy82HH,2,200,0,0,March
JMMY,BAATO08,1,30,0,0,March
JMMY,Hadi918,0,0,0,0,March
JMMY,masker96,2,80,0,0,March
JMMY,kemeja05D,9,220,1,200,March
JMMY,aisyah58,4,80,0,0,March
JMMY,bear25D,1,50,0,0,March
JMMY,rojali36,13,1070,6,1082,March
JMMY,lope25D,1,30,0,0,March
JMMY,rika71Z,2,130,0,0,March
JMMY,IDGobi61,3,60,0,0,March
JMMY,razzz404J,1,50,0,0,March
JMMY,RM_37Mk,1,50,0,0,March
JMMY,rizal38D,15,940,0,0,March
JMMY,ZVATO86,9,250,1,100,March
JMMY,acim3J,1,49,0,0,March
JMMY,runta19D,1,20,0,0,March
JMMY,onde27D,2,100,0,0,March
JMMY,notice929J,1,30,0,0,March
JMMY,kedua97,1,50,0,0,March
JMMY,zaim98MR,1,30,0,0,March
JMMY,Talk81,1,40,0,0,March
JMMY,zul71,2,70,0,0,March
JMMY,Sumbu25ii,1,30,0,0,March
JMMY,suat73D,1,100,0,0,March
JMMY,mane79D,4,80,1,136,March
JMMY,HANTO70,1,50,0,0,March
JMMY,sydne588YN,15,900,4,700,March
JMMY,PLOTO34,1,30,0,0,March
JMMY,baekk61D,1,50,0,0,March
JMMY,longyurr31HH,4,132,1,100,March
JMMY,Hutabarat93,1,50,0,0,March
JMMY,ali59,1,100,0,0,March
JMMY,duren12MR,2,60,0,0,March
JMMY,malay07HH,1,20,0,0,March
JMMY,membot70HH,2,60,0,0,March
JMMY,SANJAY680,2,100,0,0,March
JMMY,sop94D,7,900,1,200,March
JMMY,gala61MR,1,20,0,0,March
