Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,,,,,,,,,,,,
Afis527,8,228,3,410,,,,,,,,,,,,
chit00,5,150,0,0,,,,,,,,,,,,
cicadas090YN,1,50,0,0,,,,,,,,,,,,
Haymitch,5,155,1,100,,,,,,,,,,,,
syedaqil21,15,415,1,400,,,,,,,,,,,,
lugu179,2,60,0,0,,,,,,,,,,,,
AMZZ54,10,480,5,717,,,,,,,,,,,,
suxu75D,1,50,0,0,,,,,,,,,,,,
save47HH,2,60,0,0,,,,,,,,,,,,
ros36,50,3047,7,1720,,,,,,,,,,,,
sivam17J,1,20,0,0,,,,,,,,,,,,
saif09to,3,150,0,0,,,,,,,,,,,,
Mohan767,5,1200,0,0,,,,,,,,,,,,
AMMAR815,2,60,0,0,,,,,,,,,,,,
leon63D,1,23,0,0,,,,,,,,,,,,
nikto51D,8,190,1,800,,,,,,,,,,,,
Danial56ii,2,65,0,0,,,,,,,,,,,,
terpo59MR,0,0,0,0,,,,,,,,,,,,
Hakimie56ii,2,170,0,0,,,,,,,,,,,,
dung12D,10,380,3,400,,,,,,,,,,,,
kolak302,1,50,0,0,,,,,,,,,,,,
RAO654,4,126,0,0,,,,,,,,,,,,
MEWTO41,2,60,1,150,,,,,,,,,,,,
Maniac99,1,200,0,0,,,,,,,,,,,,
jera44D,82,5100,20,4836,,,,,,,,,,,,
silviaa837,2,350,0,0,,,,,,,,,,,,
Hijau22,1,20,0,0,,,,,,,,,,,,
lalala843,2,60,0,0,,,,,,,,,,,,
STAYHOME84,14,777,1,130,,,,,,,,,,,,
baitulHH5,2,80,0,0,,,,,,,,,,,,
Aiman_90Mk,1,30,0,0,,,,,,,,,,,,
SYAZWAN510,2,80,0,0,,,,,,,,,,,,
anna9626,21,680,6,1371,,,,,,,,,,,,
HAZIP89,1,50,0,0,,,,,,,,,,,,
dewiko882,4,200,0,0,,,,,,,,,,,,
lima30MR,1,20,0,0,,,,,,,,,,,,
ujees226,1,100,0,0,,,,,,,,,,,,
Edd879,4,200,0,0,,,,,,,,,,,,
ROY3528,1,30,0,0,,,,,,,,,,,,
pop11MR,2,60,0,0,,,,,,,,,,,,
NIMA70,1,20,0,0,,,,,,,,,,,,
teamo98u458J,10,470,0,0,,,,,,,,,,,,
thesure78S,4,90,0,0,,,,,,,,,,,,
psg52D,4,170,0,0,,,,,,,,,,,,
kini44J,1,30,0,0,,,,,,,,,,,,
Bird_47MK,5,230,1,100,,,,,,,,,,,,
AIMIN856,28,2619,1,500,,,,,,,,,,,,
CHOUNG13,1,51,0,0,,,,,,,,,,,,
cikole365YN,1,50,0,0,,,,,,,,,,,,
WJKTO38,1,20,0,0,,,,,,,,,,,,
Nura330,1,30,0,0,,,,,,,,,,,,
SATYA690,6,158,1,100,,,,,,,,,,,,
CJGTO76,2,100,0,0,,,,,,,,,,,,
Mio_52Mk,1,20,0,0,,,,,,,,,,,,
amboo46D,2,190,0,0,,,,,,,,,,,,
IDLaw68,34,2460,6,1913,,,,,,,,,,,,
boldyou23HH,1,80,0,0,,,,,,,,,,,,
sedan13HH,1,40,0,0,,,,,,,,,,,,
whtsip30HH,1,20,0,0,,,,,,,,,,,,
lokei83Z,1,50,0,0,,,,,,,,,,,,
surui45,1,50,0,0,,,,,,,,,,,,
shelk491J,1,50,0,0,,,,,,,,,,,,
qitela88,11,476,0,0,,,,,,,,,,,,
kaile70MR,2,60,0,0,,,,,,,,,,,,
yout72MR,1,100,0,0,,,,,,,,,,,,
anis65D,1,30,0,0,,,,,,,,,,,,
karje743Z,4,240,0,0,,,,,,,,,,,,
Rapp300,2,80,0,0,,,,,,,,,,,,
kuma08to,1,20,0,0,,,,,,,,,,,,
lato05,12,408.1,1,100,,,,,,,,,,,,
wokk77D,5,350,1,500,,,,,,,,,,,,
SURKEN84J,1,30,0,0,,,,,,,,,,,,
Amir688J,1,50,1,400,,,,,,,,,,,,
Zainudin75J,1,30,0,0,,,,,,,,,,,,
fadli53D,7,460,1,500,,,,,,,,,,,,
MDMONU400,2,145,0,0,,,,,,,,,,,,
youn22D,1,80,0,0,,,,,,,,,,,,
Macho70Mk,1,50,0,0,,,,,,,,,,,,
aldin75D,5,453,2,700,,,,,,,,,,,,
Bashar769,1,150,0,0,,,,,,,,,,,,
RameshChandra92,8,197.7,0,0,,,,,,,,,,,,
SAGTO43,1,50,0,0,,,,,,,,,,,,
elun14D,2,99,0,0,,,,,,,,,,,,
BORTO18,1,50,0,0,,,,,,,,,,,,
TARATO73,7,500,0,0,,,,,,,,,,,,
marsinah83Z,1,200,0,0,,,,,,,,,,,,
DinDin3j,3,110,0,0,,,,,,,,,,,,
revathikaur01,1,30,0,0,,,,,,,,,,,,
IDReka25,20,890,8,1619,,,,,,,,,,,,
haps30D,1,100,0,0,,,,,,,,,,,,
nadnad00MR,3,80,0,0,,,,,,,,,,,,
blyar34D,3,70,0,0,,,,,,,,,,,,
